price,artist,source_artwork
116868.328125,Giuseppe Pellizza da Volpedo,Collina Presso Volpedo
8835148.0,Franz Marc,Coloful Flowers Aka Abstract Forms
104049.578125,Fernando Botero,Colombiana 1986
338371.6875,Sir Henry Raeburn,"Colonel Alistair Macdonell of Glengarry, exh. 1812"
78220864.0,Sir Henry Raeburn,Colonel Francis James Scott
42745.58203125,John Frederick Herring Snr,Colonel With Jockey Up 2
606759.8125,Canaletto,"Colosseum and Arch of Constantine, Rome"
22299.5,Childe Hassam,"Columbus Avenue, Rainy Day, 1885"
168444.859375,Claudio Coello,Communion of St. Teresa of Avila (1515-82) c.1670
187397.515625,Raphael,Conestabile Madonna 1502
969791.875,Jacques Louis David,Consecration of the Emperor Napoleon I (detail 1) 1805-07
195293.625,Jacques Louis David,Consecration of the Emperor Napoleon I (detail 3) 1805-07
19502.3671875,Jacques Louis David,Consecration of the Emperor Napoleon I and Coronation of the Empress Josephine 1805-07
19600.220703125,Paul Sandby,Conway Castle
16716.134765625,Jean-Baptiste-Simeon Chardin,Copper Cauldron with a Pitcher and a Slice of Salmon
74664.8828125,Horatio Henry Couldery,Cornered
1009048.3125,Alexandre Evariste Fragonard,Coronation of a young girl
3931.537353515625,Correggio (Antonio Allegri),Correggio
15375.4560546875,Berthe Morisot,Cottage Interior Aka Interior At Jersey
175988.28125,Franz Marc,Cottages On The Dachau Marsh
564751.75,Franz Xavier Winterhalter,Countess Alexander Nikolaevitch Lamsdorff
5064.203125,David The Younger Teniers,Country Banquet
167797.4375,Vincent Van Gogh,Country Churchyard and Old Church Tower
5246091.5,August Macke,Couple In The Forest
76939.9921875,Sir Lawrence Alma-Tadema,Courtship The Proposal
272837.875,Paul Sandby,Covent Garden Piazza
26622.55859375,English Provincial School,Cows in a landscape
2169.864013671875,Winslow Homer,Crab Fishing
40951960.0,Vincent Van Gogh,Crab On Its Back
15327459.0,Michelangelo Buonarroti,Creation of Eve (with ignudi and medallions) 1509-10
7613468.0,Jacopo Tintoretto,Creation of the Animals c. 1550
127837336.0,Michelangelo Buonarroti,"Creation of the Sun, Moon, and Plants (detail-1) 1511"
2203.851318359375,Michelangelo Buonarroti,"Creation of the Sun, Moon, and Plants 1511"
187919.546875,Thomas Moran,Cresheim Glen Wissahickon Autumn
2092057.375,Joseph Nash,Crewe Hall Cheshire
177737.703125,Leonardo Da Vinci,Crossbow Machine
3931.537353515625,Ernst Ludwig Kirchner,Crouching Nude Girl
25047.38671875,Francisco De Goya y Lucientes,Crucified Christ
3931.537353515625,John Frederick Herring Snr,Crucifix With Jockey Up
4474882.5,Jacopo Tintoretto,Crucifixion (detail) 1565
31874.21484375,Paolo Veronese (Caliari),Crucifixion (detail)
2122683.25,Jan Van Eyck,Crucifixion 1420-25
3668038.25,Giovanni Bellini,Crucifixion 1501-03
34489.921875,Lorenzo Lippi,Crucifixion
561613.0,Claudio Coello,"Crucifixion, 1635"
146700.390625,Joseph Nash,Crystal Palace the Indian Court
25695.5390625,Girolamo Francesco Maria Mazzola (Parmigianino),Cupid 1523-24
78.8364486694336,Eustache Le Sueur,Cupid Ordering Mercury to Announce his Power to the Universe
3931.537353515625,Jacques Louis David,Cupid and Psyche 2
737.6087036132812,Caravaggio,Cupid
509473.5625,Arthur Heyer,Curiosity
70848.1328125,Paul Cezanne,Curtain Jug And Fruit
3931.537353515625,Alphonse Maria Mucha,Cycles Perfecta. c. 1897
1248029.0,Vincent Van Gogh,Cypress against a Starry Sky
417965.9375,Ernst Ludwig Kirchner,Czardas Dancers
2768471.75,Gustave Caillebotte,Dahlias The Garden At Petit Gennevilliers
284605.90625,Oene Romkes De Jongh,Daily activities around the Haringpakkerstoren
100688.3984375,Paul Gauguin,Daisies And Peonies In A Blue Vase
146787.453125,Tiziano Vecellio,Danae (2) 1554
3931.537353515625,Correggio (Antonio Allegri),Danae (detail)
3931.537353515625,Rembrandt Van Rijn,Danae (detail-3) 1636-47
31531.6640625,Henri De Toulouse-Lautrec,Dance At The Moulin Rouge
28646.126953125,Nicolas Poussin,Dance to the Music of Time c. 1638
7041200.5,Fernando Botero,Dancers 1997
1923333.0,Ernst Ludwig Kirchner,Dancers in Red
5422.46435546875,Edgar Degas,"Dancers in blue, 1890"
11349.2666015625,William Holbrook Beard,Dancing Bears
30458172.0,Ernst Ludwig Kirchner,Dancing Couple
9531.318359375,Arthur Rackham,"Dancing with the Fairies from Peter Pan in Kensington Gardens by J.M. Barrie, 1906 34 Peter Pan in Kensington Gardens by J.M. Barrie Dancing with the Fairies, 1906"
11070.7138671875,"Bartlett, William Henry","Dangan Castle, County Meath, Ireland"
3931.537353515625,Auguste Rodin,Danseuse
1117218.25,Sir Joseph Noel Paton,"Dantes Dream, from the Divine Comedy"
105808.9375,Eustache Le Sueur,Darius Hystaspes Opens the Tomb of Nitocris
44.108184814453125,John William Godward,Darning Day
10237.671875,Frederick Judd Waugh,Dashing Water
96628.96875,Charles-Francois Daubigny,Daubigny Charles Francois Bords De L Oise
14345.201171875,Grant Wood,Daughters of the Revolution
45614.35546875,William Hogarth,David Garrick as Richard III 1745
60972.546875,Allan Ramsay,David Hume 1711-76 1766
3268.6474609375,(after) Harmenszoon Van Rijn Rembrandt,David Playing Harp Before Saul
1834735.625,Caravaggio,"David with the Head of Goliath, 1606"
70947696.0,Frederick Judd Waugh,Dawn In The East
11393.7724609375,George Inness,Dawn
31707.646484375,Henriette Ronner-Knip,De Snippermand (The Waste Paper Basket)
3931.537353515625,Egon Schiele,Dead Mother
3931.537353515625,George Wesley Bellows,Dead Orchard
202292.71875,Edgar Degas,"Dead fox lying in the Undergrowth, 1865"
63543.48046875,August Macke,Dealer With Pitchers
72832.3984375,Carl Larsson,Decorating the Tree (Julgranskonfekt)
1781014.125,Giotto Di Bondone,Decorative Bands
79571864.0,Franz Marc,Deer At Dusk
15849.0673828125,Winslow Homer,Deer Drinking
1648482.625,Franz Marc,Deer In A Monastery Garden
72611.7890625,Franz Marc,Deer in a Forest II
49950.91796875,Wilhelm Kuhnert,Deer in a Forest
490677.46875,"Bartlett, William Henry","Delphi Lodge, County Mayo, Ireland"
67.4415512084961,George Wesley Bellows,Dempsey And Firpo Aka Brodies Revenge
885207.8125,August Macke,Departure
328317.84375,Caravaggio,Deposition (Deposizione nel sepolcro)
3931.537353515625,Giovanni Bellini,Deposition c. 1515
9492.80078125,Eustache Le Sueur,Deposition
7561.7119140625,Jacopo Tintoretto,"Deposition of Christ, late 1550s"
681305.75,Jacques Louis David,Deputies swearing oaths 1791
595446.4375,Edvard Munch,Der Kuss
88580920.0,Peter Paul Rubens,Descent From The Cross
181416.890625,Eustache Le Sueur,Descent from the Cross
3931.537353515625,Odilon Redon,Design For A Prayer Rug
2822940.25,Alphonse Maria Mucha,"Design for a stained-glass window in St. Vitus Cathedral, 1931"
1144221.875,Raphael,Detail from the Saint Nicholas Altarpiece 1500-01
1523848.5,Louis Anquetin,Deux Femmes Et Un Homme
1414.653076171875,Jan Vermeer Van Delft,Diana and her Companions 1655-56
4004.616943359375,Peter Paul Rubens,Diana and her Nymphs Surprised by the Fauns (detail-1) 1638-40
534509952.0,Peter Paul Rubens,Diana and her Nymphs Surprised by the Fauns (detail-2) 1638-40
173484.03125,Theodor Van Thulden,Dido And Aeneas 2
34051.2890625,Frida Kahlo,Diego and Frida
343.12335205078125,Gaston de La Touche,Dinner at the Casino
330389.90625,Jan Van Eyck,Diptych 1420-25
22815.369140625,Frederic Remington,"Dismounted, The Fourth Trooper Moving the Led Horses"
1944405.625,William Holbrook Beard,Divorce
7890.203125,Istvan Csok,Do this in Memory of Me (Holy Communion) 1890
514689.25,Paul Signac,Docked Ship
1074953.25,Franz Marc,Dog Lying In The Snow
36175.40625,Cassius Marcellus Coolidge,Dogs Playing Poker
4453170.5,Caspar David Friedrich,Dolmen In The Snow
26445.44921875,Annibale Carracci,Domine quo vadis 1601-02
65311.44921875,Alexandre Evariste Fragonard,Dominique Vivant Denon 1747-1825 Replacing the bones of Le Cid in his Tomb
4464.4873046875,Charles Robert Leslie,Don Quixote and Dorothea
800348.0625,Francisco De Goya y Lucientes,Dona Isabel Cobos De Porcel
72890.21875,Francisco De Goya y Lucientes,Dona Tadea Arias De Enriquez
3931.537353515625,Fernando Botero,Dopo Piero
26546.017578125,George Stubbs,"Dorsal view of the muscle structure of a progressively dissected horse, study No.7 from The Anatomy of the Horse, 1766"
496366.25,"(after) Dyck, Sir Anthony van","Double Portrait Of Lord John Stuart With His Brother, Lord Bernard Stuart, Later Earl Of Lichfield"
3931.537353515625,Egon Schiele,Double Self Portrait
9464630.0,Caravaggio,Doubting Thomas
256604.390625,Charles Robert Leslie,Dr. John Wakefield Francis
3931.537353515625,Leonardo Da Vinci,Drawing Of A Womans Torso
3931.537353515625,Gustav Klimt,Drawing for Two Emblems for Ver Sacrum (Nuda Veritas) 1898
662304.4375,George Stubbs,Drawing of Duke of Richmonds Second Bull Moose
132986.15625,Leonardo Da Vinci,Drawings Of Water Lifting Devices
2994.512451171875,Carl Larsson,Dressing Up (Masquerade)
7067.41259765625,Gustave Courbet,Dressing the Dead Girl
65856.09375,John Tenniel,"Dropping the Pilot, caricature of Otto von Bismarck 1815-98 and Kaiser Wilhelm II 1797-1888 from Punch, or The London Charivari, 29th March 1890"
63131.4140625,Childe Hassam,Duck Island
42601.67578125,Childe Hassam,"Duck Island, Isles of Shoals, 1906"
623987.3125,Francisco De Goya y Lucientes,Duel with Cudgels
36622.1875,David The Younger Teniers,Dulle Griet (Mad Meg) 1640s
72846.984375,Pieter the Elder Bruegel,Dulle Griet (Mad Meg) c. 1562
337610.34375,Paul Signac,Dunkerque
32991.0546875,Frederick Judd Waugh,Ebbing Waters
11193.0849609375,Guido Reni,Ecce Homo 1639
114187.0,Armand Guillaumin,Echo Rock
5013.1572265625,George Stubbs,"Eclipse, 1770"
16424.44140625,John Singer Sargent,Edith French
7115.44921875,Egon Schiele,Edith Schiele Seated
11854652.0,Angelica Kauffmann,Egeria Handing Numa Pompilius His Shield
60732.8671875,Sir Lawrence Alma-Tadema,Egyptian Juggler
492378.15625,Martin Johnson Heade,Egyptian Lotus Blossom
3931.537353515625,Marianne Preindelsberger Stokes,Ehret die Frauen
271685.28125,John Singer Sargent,El Jaleo
2121614.5,Frederic Edwin Church,El Khasne Petra
8497.9140625,Fernando Botero,El Quite
27257.583984375,Frederic Edwin Church,El Rio de Luz
3931.537353515625,Francisco De Goya y Lucientes,El Sueno de la razon produce monstruos (The sleep of reason brings forth monsters)
3176.192138671875,Caspar David Friedrich,Eldena Ruin
8911.5224609375,Heinz Pinggera,Elegant figures in an interior
3931.537353515625,William Blake,Elisha In The Chamber On The Wall 1820
291.11236572265625,Sir Joshua Reynolds,"Elizabeth Herbert, Countess of Pembroke 1737-1831 and her son George, Lord Herbert 1759-1827 1764-67"
11326.0087890625,Thomas Gainsborough,Elizabeth Jenks Beaufoy later Elizabeth Pycrofteth
157459.671875,Wilhelm Kuhnert,Elk
31101.484375,Mary Cassatt,Ellen Mary Cassatt In A White Coat
661012.75,Mary Cassatt,Ellen Mary Cassatt With A Large Bow In Her Hair
164315.9375,John Singer Sargent,Ellen Terry as Lady Macbeth (sketch)
10719.435546875,Jean-Antoine Watteau,Embarkation for Cythera
80098.140625,George Wesley Bellows,Emma in the Purple Dress
2621664.0,Jean-Victor Schnetz,"Emperor Charlemagne 747-814 Surrounded by his Principal Officers, Receiving Alcuin (c.735-804) who is Presenting some Manuscripts made by his Monks"
1187542.0,John Tenniel,"Empress and Earl or, One Good Turn Deserves Another, from Punch or the London Charivari, August 1876"
3931.537353515625,Paul-Gustave Fischer,En Sommerdag Pa Stranden (Nude Bathers On A Beach)
341199.59375,Thomas Moran,Entrance To The Grand Canal Venice
2423671.75,Paul Signac,"Entrance to the Port of Marseille, 1918"
96801.8203125,Armand Guillaumin,Epinay Sur Orge
2402002.75,Salvador Dali,Equestrian Fantasy - Portrait of Lady Dunn
15539.6142578125,"(after) Dyck, Sir Anthony van",Equestrian Portrait Of Charles I With Monsieur De St. Antoine
190.23731994628903,"(after) Dyck, Sir Anthony van",Equestrian Portrait Of King Charles I Accompanied By Monsieur De St. Antoine
116530.34375,Albrecht Durer,Erasmus Of Rotterdam
149569.421875,Angelica Kauffmann,Erato the Muse of Lyric Poetry with a putto
1144377.875,Ernst Ludwig Kirchner,Erna with Cigarette
2582796.5,Istvan Csok,Erzsebet Bathory (sketch) c 1893
41355420.0,Carl Larsson,Esbjorn Doing His Homework
1403235.5,Albert Bierstadt,"Estes Park, Colorado"
10868.365234375,George Inness,Etretat
997403.875,William Blake,"Europe a Prophecy- Plague, c.1794"
3931.537353515625,Auguste Rodin,Eve Fairfax
2703.614013671875,Martin Johnson Heade,Evening Lake Alto Florida
77961.5703125,William-Adolphe Bouguereau,Evening Mood
713355.75,Henri De Toulouse-Lautrec,Evening Shower Paris
13109.3505859375,Frederic Edwin Church,Evening in the Tropics
9470.3212890625,Gabriel Joseph Marie Augustin Ferrier,Evening
42108.9296875,George Inness,Evening
14261.923828125,Joseph Farquharson,Evening
460873.65625,Sir Joseph Noel Paton,Evening
42737.34765625,Odilon Redon,Evocation of Butterflies
221803.34375,Henriette Ronner-Knip,Expectation
1204.5789794921875,John Constable,"Extensive Landscape with Grey Clouds, c.1821"
3931.537353515625,Michelangelo Buonarroti,Exterior of the Sistine Chapel
3931.537353515625,Edvard Munch,Eyes in eyes 1884
343327.78125,Alphonse Maria Mucha,F Champenois Imprimeur Editeur
8532.1982421875,Gustave Caillebotte,Factories At Argenteuil
32366.958984375,Sir Joseph Noel Paton,Fairies on a Shell
13658.2958984375,Franz Marc,Fairy Animals
190754.203125,Arthur Rackham,"Fairy, illustration from A Midsummer Nights Dream, published by Heinemann, 1908"
258283.453125,Horatio Henry Couldery,Faithful companions
131253.9375,Peter Paul Rubens,Fall Of The Rebel Angels
534538.125,Grant Wood,Fall Plowing
162038272.0,William Hogarth,Falstaff Examining his Recruits from Henry IV by Shakespeare
35530788.0,Fernando Botero,Familia Colombiana
129090.703125,Grant Wood,Family Doctor
3931.537353515625,Frederick Judd Waugh,Family Resting under a Tree
7663.70703125,Gustav Klimt,Farm Garden With Crucifix
22087374.0,Melchior de Hondecoeter,Farmyard Birds
161679.765625,Carl Larsson,"Father, Mother And Child"
3931.537353515625,William-Adolphe Bouguereau,Faun and Bacchante
297.33612060546875,James Jacques Joseph Tissot,Faust And Marguerite In The Garden
250629.546875,Eugene Delacroix,Faust with Margarete in Prison (detail) 1828
3931.537353515625,Gabriel Joseph Marie Augustin Ferrier,Fauvette
4777112.5,Tiziano Vecellio,Feast of the Gods
2910.83935546875,Arthur Heyer,Feline With Her Kitten
3931.537353515625,Albrecht Durer,Female Nude (With Headcloth And Slippers)
3931.537353515625,Gustav Klimt,Female Nude Study
71492.59375,Albert Edelfelt,Female model academic study
3931.537353515625,Auguste Rodin,"Femme A Genoux, Nue Sous Un Manteau"
18191.021484375,Louis Anquetin,Femme A La Voilette
3931.537353515625,Gustave Caillebotte,Femme Nue Etendue Sur Un Divan (Naked Woman Lying on a Couch)
55692.55859375,Louis Anquetin,Femme au parapluie
1773.384521484375,Louis Anquetin,Femme avec un chat
3931.537353515625,Auguste Rodin,Femme nue assise aux jambes ecartees
12112374.0,Louis Anquetin,Femme se regardant dans le mirroir
352160.6875,Louis Anquetin,Femmes a leur toilette
14962607.0,Anton Raphael Mengs,"Ferdinand IV, King of Naples 1760"
2763.72705078125,Jean-Antoine Watteau,Fete Champetre
2450525.5,Frederic Remington,Field Drill for the Prussian Infantry
113725.0078125,Egon Schiele,Field Of Flowers
260318.65625,Giuseppe Pellizza da Volpedo,Field in Bloom
6253.27099609375,Charles-Francois Daubigny,Fields in the Month of June
139352.890625,Frederic Remington,Fight For The Water Hole
121127.5390625,Melchior de Hondecoeter,Fight between a Rooster and a Turkey
22010.654296875,Charles Henri Leickert,Figures In The Dunes
2178.501220703125,Charles Henri Leickert,Figures On A Barge Near A Waterside Village
46315.18359375,Oene Romkes De Jongh,Figures On A Frozen Canal In A Dutch Town
687065.9375,Louis de Caullery,Figures in a Classical Piazza
372136.0625,Charles Henri Leickert,Figures skating on a frozen waterway on a windy day
16744.7578125,Marsden Hartley,Fish Houses And Lobster Pots
36396.703125,Robert Henri,Fishermans Daughter
39800.95703125,Joseph Mallord William Turner,Fishermen at Sea (or The Cholmeley Sea Piece)
6230761.0,Vincent Van Gogh,Fishing Boats On The Beach At Saintes Maries
321996.75,Gustave Courbet,Fishing Boats on the Deauville Beach
379311.9375,Winslow Homer,"Fishing Boats, Key West"
41481.9921875,Albert Bierstadt,"Fishing and Hunting Camp, Loring, Alaska"
3931.537353515625,Albrecht Durer,Five Male Nudes
429578.59375,Ernst Ludwig Kirchner,Five Women in the Street
511136.53125,Paul-Gustave Fischer,Fjord near Oslo
8214.064453125,John William Godward,Flabellifera
33129.58984375,John Constable,Flatford Mill (detail) 1817
233921.4375,George Wesley Bellows,Floating Ice
158749.0,Camille Pissarro,Flock of Sheep in a Field after the Harvest
48673.3359375,Alfred Sisley,Flood at Port-Marly II 2
22105.40234375,Alfred Sisley,Flood at Port-Marly III
58467.25,Alfred Sisley,Flood at Port-Marly IV
12152.8984375,Alfred Sisley,Flood at Port-Marly V
38687.63671875,Camille Pissarro,"Flood, White Effect, Eragny"
184264.125,Tiziano Vecellio,Flora
8295.568359375,Franz Xavier Winterhalter,Florinda
1073489.375,Winslow Homer,"Flower Garden and Bungalow, Bermuda"
6088637.5,Childe Hassam,Flower Girl 1888
124028.0390625,Frans Mortelmans,Flower Sprigs In A Basket
851280.6875,Carl Larsson,Flower Window
64250.953125,Paul Cezanne,Flowers And Fruit
42322.7890625,Odilon Redon,Flowers In A Chinese Base
102342.40625,Edouard Manet,Flowers In A Crystal Vase I
23069.759765625,Paul Gauguin,Flowers In A Fruit Bowl
79114.9375,Odilon Redon,Flowers In Green Vase With Handles
1374715.75,Gustave Courbet,"Flowers in a Basket, 1863"
51344888.0,Edouard   Vuillard,Flowers on a Mantlepiece in Clayes (Fleurs sur une cheminee aux Clayes) c. 1932-35
145019.09375,Guido Reni,Fortune Held Back by Love
394143.34375,George Wesley Bellows,Forty Two Kids
1255699.625,Edgar Degas,Four Dancers
83317.890625,Correggio (Antonio Allegri),"Four Saints, from left, St. Peter, St. Martha, St. Mary Magdalene, St. Leonard"
3931.537353515625,Alphonse Maria Mucha,Four Seasons
49038.484375,Egon Schiele,Four Trees
2547606.0,Giuseppe Pellizza da Volpedo,Fourth Estate (Il Quarto Stato) or Proletariat
137162.0625,Gustave Courbet,Fox in the Snow
38711.625,Georges Lacombe,Foxgloves
6201.66748046875,Alexandre Evariste Fragonard,Francois Antoine Boissy dAnglas 1756-1826 Saluting the Head of the Deputy Jean Bertrand Feraud 1759-95 1 Prairial An III
306.72283935546875,Alexandre Evariste Fragonard,Francois I 1494-1547 with Leonardo da Vinci 1452-1519
117096.4765625,George Wesley Bellows,Frankie The Organ Boy
1554845.125,Giovanni Bellini,Frari Triptych
323472.59375,Jean-Francois Millet,Frau beim Brotbacken
3931.537353515625,Egon Schiele,Frauenkopf
25400.783203125,George Inness,"Frosty Morning, Montclair"
3359804.5,Gustave Caillebotte,Fruit Displayed on a Stand 1881-82
309570.3125,Alphonse Maria Mucha,Fruit
50902.21484375,Frederick Judd Waugh,Full Glow
157355.34375,"(after) Dyck, Sir Anthony van",Full length portrait of Charles II as a boy with a mastiff
311325.09375,Frederick Judd Waugh,Full of the Moon
53622.5859375,Jean-Victor Schnetz,"Funeral of a Young Martyr in the Catacombs of Rome, 1847"
3122818.5,Raja Ravi Varma,Galaxy of Musicians
399453.59375,Sir Lawrence Alma-Tadema,Gallo Roman Women
208537.3125,Horatio Henry Couldery,Game for Dinner
903365.4375,Edouard   Vuillard,Game of Draughts
1328010.75,Raja Ravi Varma,Ganga Vatram
3931.537353515625,Girolamo Francesco Maria Mazzola (Parmigianino),Ganymede
28143912.0,August Macke,Garden At The Thuner Lake
7902.35009765625,Gustav Klimt,Garden Path With Chicken
27764660.0,August Macke,Garden Restaurant
56923.78515625,Istvan Csok,Gathering Hay 1890
57864.890625,Jean-Antoine Watteau,Gathering in a Park 1718
17558242.0,Wilhelm Kuhnert,Gazelles
4321597.5,Sir Joshua Reynolds,General Sir Banastre Tarleton 1782
11989107.0,Salvador Dali,Geopoliticus Child
12375.4921875,George Inness,Georgia Pines Afternoon
50593.54296875,Childe Hassam,Geraniums 1888
948.5510864257812,Arthur Rackham,"Gerda is terrified by the Snow Queens advance guard, but she said Our Father and is rescued by little bright angels, illustration from The Snow Queen by Hans Christian Andersen, published 1932"
31075556.0,Ernst Ludwig Kirchner,"Gerda, Half-Length Portrait"
55510.203125,Henriette Ronner-Knip,Gevaarlijk Spel (A Dangerous Game)
84038.8984375,Leonardo Da Vinci,Giant Crossbow
94570.9375,Jean-Antoine Watteau,Gilles and his Family c. 1716
201.90753173828125,Henriette Ronner-Knip,Ginger cats
603108.625,Istvan Csok,Gipsies Making Trough 1903
383140.59375,William Merritt Chase,Girl In A Japanese Kimono
27275.00390625,Robert Henri,Girl In Rose And Gray Miss Carmel White
20742.37109375,Jan Vermeer Van Delft,Girl Interrupted at Her Music (detail) 1660-61
861999.0,Jean-Baptiste-Simeon Chardin,Girl Peeling Vegetables
12857970.0,Jan Vermeer Van Delft,Girl Reading a Letter at an Open Window (detail-1) 1657
14208.65234375,Camille Pissarro,"Girl Tending a Cow in Pasture, 1874"
1750.761962890625,Jan Vermeer Van Delft,Girl With A Red Hat
35627352.0,Frida Kahlo,Girl With Death Mask 1 1938
441940.25,William Henry Hunt,Girl at Prayer
23853.859375,Berthe Morisot,"Girl in a Boat, with Geese 1889"
813340.25,Edvard Munch,Girl on the Beach
3931.537353515625,Joaquin Sorolla y Bastida,Girl on the beach
3954.026611328125,Tiziano Vecellio,Girl with a Basket of Fruits (Lavinia) 1555-58
3119478.75,Federico de Madrazo y Kuntz,Girl with a Lap Dog
35500.078125,Jan Vermeer Van Delft,Girl with a Pearl Earring c. 1665
2399766.0,August Macke,Girls In The Forest
10522.9755859375,Pierre Auguste Renoir,Girls at the Piano I
97405.5078125,Joaquin Sorolla y Bastida,Girls with flowers
33917.7265625,Camille Pissarro,Gisors
11277341.0,William Henry Hunt,Glass vase and flowers
72938.2578125,Joseph Mallord William Turner,"Glaucus and Scylla from Ovids Metamorphoses, 1841"
154269.578125,"Bartlett, William Henry","Glendalough, County Wicklow, Ireland"
16855.7265625,Joseph Farquharson,Glowed with Tints of Evening Hours
86088.453125,Rosa Bonheur,Goats
4320950.5,Raja Ravi Varma,Goddess Lakshmi 2
200704.484375,Istvan Csok,Godfather at Breakfast 1932
19087.29296875,Marianne Preindelsberger Stokes,Going Home at Dusk 1882
66330.46875,Marianne Preindelsberger Stokes,Going to Church 1880
56121.9765625,Marianne Preindelsberger Stokes,Going to Fold 1879
214356.8125,Rosa Bonheur,Going to Market
979075.4375,Gustav Klimt,Gold Cavalier
281187.4375,Arthur Rackham,"Gold pieces fell down on the cloth illustration to Washing Table, Golden Ass and Cudgel from Fairy Tales of the Brothers Grimm, 1900"
86876.5078125,George Inness,Golden Sunset
21250.328125,Gustav Klimt,Goldfish
775706.1875,Henri De Toulouse-Lautrec,Goule Enters The Moulin Rouge With Two Women
28075.29296875,Thomas Moran,Grand Canyon 1912
7750137.5,Thomas Moran,Grand Canyon With Rainbows
28932.734375,Frederic Edwin Church,Grand Manan Island
31635.185546875,Paul Gauguin,Grape Harvest In Arles Aka Human Misery
4408.5712890625,Alfred Sisley,Grapes And Walnuts On A Table
91090.0078125,Franz Marc,Grazing Horses
39612.26171875,Frederic Edwin Church,"Great Basin, Mount Katahdin, ,Maine"
12281.36328125,Joseph Nash,Great Exhibition 1851 The Austrian Room
6733487.5,Joseph Nash,Great Exhibition Medieval Court 1851
557713.0,Joseph Nash,Great Exhibition Stained Glass Gallery 1851 by Joseph Nash 1809-78
78413.8125,Frederic Remington,Great Explorers 1905
2162139.75,Eugene Delacroix,Greece on the Ruins of Missolonghi
1571.47412109375,Lord Frederick Leighton,Greek Girls Playing At Ball
13270.673828125,Robert Henri,Gregorita with the Santa Clara Bowl 1917
7287666.5,(after) Philippe De Champaigne,"Group portrait of Louis XIII, Anne of Austria, and their son Louis XIV, flanked by Cardinal Richelieu and the Duchesse de Chevreuse"
80515.6171875,William (Turner of Oxford) Turner,Grouse Shooting on the Moor near Dalmall
30903363584.0,Fernando Botero,Guerrilla Of Eliseo Velasquez
24325.126953125,Sir David Wilkie,Guess My Name
93236.171875,Lord Frederick Leighton,Gulnihal
6054.7138671875,Jean-Baptiste-Camille Corot,"Gust of Wind, 1866"
29170.587890625,Gustave Courbet,Gypsy in Reflection
34810.72265625,George Inness,Hackensack Meadows Sunset
463666.03125,Lorenzo Lippi,Hagar And Ishmael In The Desert
1719752.375,Eustache Le Sueur,Hagar and Ishmael Rescued by the Angel
4371.03173828125,(after) Harmenszoon Van Rijn Rembrandt,Haman Pleading With Esther For His Life
452213.9375,Raja Ravi Varma,Hamsa Damayanthi
909410.1875,Albrecht Durer,Hand Study with Bible
3931.537353515625,Auguste Rodin,Hands
307845.96875,Berthe Morisot,Hanging The Laundry Out To Dry
42198.9375,John Tenniel,"Happy Families, card game, based on designs by John Tenniel, c.1860"
202912.765625,Charles-Francois Daubigny,Harvest
1051922.375,John Linnell,Harvesters 1855
3177.967529296875,Jean-Francois Millet,Harvesters Resting (or Ruth and Boaz)
238014.71875,Pieter the Elder Bruegel,Hay-Harvest
3773767.0,Thomas Gainsborough,Haymaker and Sleeping Girl (Mushroom Girl) 1785
71870.625,George Stubbs,Haymaking 1785
1525330.125,Paul Sandby,"Haymaking at Dolwyddelan below Moel Siabod, North Wales, c.1776-86"
23749.0390625,John Constable,Haywain
1156531.0,Rosa Bonheur,Head Of A Calf
263249.5625,Jan Vermeer Van Delft,Head Of A Girl 1666-1667
3415673.5,Lorenzo Lippi,Head Of A Youth Looking To The Right
73049.15625,Peter Paul Rubens,Head Of Medusa
72613.171875,Jean-Antoine Watteau,Head of a Man
7556.1611328125,Girolamo Francesco Maria Mazzola (Parmigianino),Head of a young man looking up
52755.4140625,Jacques Louis David,Head of the Dead Marat 1793
3152956.0,Sir Joshua Reynolds,Heads of Angels 1787
2482.50830078125,Walter Withers,"Heidelberg Road, Eltham"
29390.291015625,Walter Withers,Heidelberg
9882.9892578125,(after) Hieronymus Bosch,Hell Scene With The Fountain Of Life
91701.1796875,Gabriel Joseph Marie Augustin Ferrier,Henri of Orleans 1822-97 Duke of Aumale and Alfred Cuvillier Fleury 1802-87 his Secretary in the Cabinet des Livres at Chantilly
29284.92578125,Sir Joshua Reynolds,"Henry, Eighth Lord Arundell of Wardour"
982.6051025390624,Theodor Van Thulden,Hercules and Omphale
40435272.0,Annibale Carracci,Hercules at the Crossroads
18585.435546875,Wilhelm Kuhnert,Herd of Zebra
16784.18359375,Joseph Farquharson,Herding Sheep In A Winter Landscape At Sunset
3.115581750869751,Francisco De Goya y Lucientes,Here Comes the Bogey-Man
3931.537353515625,Sir Joseph Noel Paton,"Hesperus, the Evening Star, Sacred to Lovers, 1855"
153795.828125,William Merritt Chase,Hide And Seek
305789.875,Paul Gauguin,Hina Tefatou Aka The Moon And The Earth
1413142.375,Cassius Marcellus Coolidge,His Station And Four Aces
32975.04296875,Claudio Coello,"Holy Communion of Charles II (1661-1700) and his Court, 1690"
893920.4375,Claudio Coello,Holy Family
117766136.0,Alphonse Maria Mucha,"Holy Mount Athos, 1926"
3931.537353515625,Sandro Botticelli,Holy Trinity (Pala della Convertite) 1491-93
8209434.0,James Jacques Joseph Tissot,Holyday (or The Picnic)
304130.375,Thomas Gainsborough,Holywells Park Ipswich
